	Tue Jun 10 06:30 2014 Time and Allocation Profiling Report  (Final)

	   safe-sim +RTS -p -RTS -Iisa/code/IsaTests -Iisa/code/safelib isa/code/IsaTests/DCache_issue.asm

	total time  =        5.17 secs   (5169 ticks @ 1000 us, 1 processor)
	total alloc = 3,258,705,280 bytes  (excludes profiling overheads)

COST CENTRE                MODULE      %time %alloc

getRawReg                  Register     14.2   21.0
runOptions.(...)           Command       8.2    6.0
setRawReg                  Register      7.1    8.7
runOptions                 Command       3.9    9.5
isLive                     Register      3.2    3.1
getReg                     Register      2.6    2.4
step                       Processor     2.6    0.5
checkWriteWatchpoint       Memory        2.5    4.2
commit                     Commit        2.4    0.7
getTmuInputs               TMU           2.2    2.4
decodeInstruction          Decoder       2.0    1.2
run1                       Debugger      1.7    0.8
dbgMsgLn                   Message       1.5    2.4
runInstruction             Processor     1.4    0.6
isFieldDontCare            GroundRules   1.4    0.0
instructionSpecificInputs' TMU           1.4    0.1
pointer                    Pointer       1.4    0.9
getsProcState              Atom          1.4    0.0
tmuCheck                   TMU           1.3    0.8
updateRegisterTags         TMU           1.2    0.5
displayInstruction         Processor     1.2    1.1
runOptions.fnla            Command       1.2    4.4
fetch                      Processor     1.1    0.7
commitInstruction          Commit        1.1    0.4
handlePossiblePcForwarding Processor     1.0    1.0
getMemory                  Memory        0.9    2.0
readTP                     Register      0.5    2.0
getDebugState              Atom          0.5    1.0


                                                                                                                    individual     inherited
COST CENTRE                                      MODULE                                           no.     entries  %time %alloc   %time %alloc

    initialState                                 Processor                                        655           1    0.0    0.0     0.0    0.0
     initialState.tag                            Processor                                        656           1    0.0    0.0     0.0    0.0
      lookupFrame                                Memory                                           657           1    0.0    0.0     0.0    0.0
       lookupFrame.findFrameFromName             Memory                                           658          54    0.0    0.0     0.0    0.0
    frameTable                                   Atom                                             633           1    0.0    0.0     0.0    0.0
   runDebugger.as                                Debugger                                         631           1    0.0    0.0     0.0    0.0
   runSim                                        Debugger                                         617           0    0.0    0.0    86.5   79.9
    modifyDS.\                                   Atom                                             764           1    0.0    0.0     0.0    0.0
     alDebugState                                Atom                                             766           1    0.0    0.0     0.0    0.0
     runSim.\                                    Debugger                                         765           1    0.0    0.0     0.0    0.0
    run                                          Debugger                                         755           0    0.0    0.0    86.5   79.9
     run1                                        Debugger                                         791           0    1.7    0.8    86.4   79.8
      cycles                                     Atom                                            1477       32337    0.0    0.0     0.0    0.0
      setProcState.\                             Atom                                            1475       32337    0.1    0.0     0.1    0.0
      modifyDS.\                                 Atom                                            1474       32337    0.0    0.1     0.1    0.1
       alDebugState                              Atom                                            1480       32337    0.0    0.0     0.0    0.0
       decrCount                                 Debugger                                        1478       32337    0.1    0.0     0.1    0.0
        runCount                                 Atom                                            1479       32337    0.0    0.0     0.0    0.0
      runCheck                                   Debugger                                        1469           0    0.9    0.3     2.9    2.1
       hitBreakpoint                             Debugger                                        1485           0    0.5    0.4     1.6    1.4
        hitBreakpoint.addr                       Debugger                                        1500       32336    0.2    0.2     0.2    0.2
        breakpoints                              Atom                                            1498       32336    0.0    0.0     0.0    0.0
        getDebugState                            Atom                                            1497           0    0.0    0.0     0.1    0.0
         alDebugState                            Atom                                            1499       32336    0.0    0.0     0.0    0.0
        getPC                                    Register                                        1486           0    0.0    0.0     0.8    0.8
         getRawReg                               Register                                        1487           0    0.7    0.7     0.8    0.8
          getMemory                              Memory                                          1495           0    0.0    0.0     0.0    0.0
           alMem                                 Atom                                            1496       32336    0.0    0.0     0.0    0.0
          active                                 Atom                                            1494       32336    0.0    0.0     0.0    0.0
          alUart                                 Atom                                            1493       32336    0.0    0.0     0.0    0.0
          getsUartState                          Atom                                            1492       32336    0.0    0.0     0.0    0.0
          readTP                                 Register                                        1488           0    0.0    0.0     0.0    0.0
           getsProcState                         Atom                                            1489           0    0.0    0.0     0.0    0.0
            threadPointer                        Atom                                            1491       32336    0.0    0.0     0.0    0.0
            alProcState                          Atom                                            1490       32336    0.0    0.0     0.0    0.0
       runCheck.isRunning                        Debugger                                        1483       32336    0.0    0.0     0.0    0.0
       running                                   Atom                                            1482       32336    0.0    0.0     0.0    0.0
       isHalted                                  Memory                                          1471           0    0.3    0.3     0.3    0.3
        getsDebugState                           Atom                                            1472           0    0.0    0.0     0.0    0.0
         exitStatus'                             Atom                                            1481       32337    0.0    0.0     0.0    0.0
         alDebugState                            Atom                                            1473       32337    0.0    0.0     0.0    0.0
       getDebugState                             Atom                                            1470           0    0.1    0.0     0.1    0.0
