[root@titan:~]# ps axwww
  PID TTY      STAT   TIME COMMAND
 1736 ?        Ss     0:00 /nix/store/cqi75r3fwl6n78h87bgivsn0lc93z8lg-rsync-3.1.0/bin/rsync --daemon --no-detach
 1737 ?        Ss     0:00 dhcpcd --quiet --config /nix/store/yi2d0xsyk8g71bv597vz14472ydy4qpm-dhcpcd.conf
 1749 ?        Ss     0:00 acpid --confdir /nix/store/krag40mmbidyq431p0zspgkfcnbiy7b7-acpi-events
 1756 ?        Ssl    0:00 /nix/store/92j8k15b4nr4bgrddcd38qcfhwjhl2sk-apcupsd-3.14.12/bin/apcupsd -b -f /nix/store/yqbd73s4754bac8v0g289s0h46wydal7-apcupsd.conf -d1
 1764 ?        S<     0:00 [bond0]
 1769 ?        Ss     0:00 /nix/store/lzfsa3pp8i0fbqx8nhgjypjzw9akzxyv-privoxy-3.0.21/sbin/privoxy --no-daemon --user privoxy /nix/store/z844ymy2b7azc49w3fb76ahng35d0ib7-privoxy.conf
 1771 ?        Ss     0:00 cron -n
 1777 ?        Ss     0:00 /nix/store/4i8skkh9k8jiayp6yiy1jk9gzbyxpyqh-openssh-6.6p1/sbin/sshd -f /nix/store/nkvvc62c6z4axjq2chp2qbr9a1kg527s-sshd_config
 1778 ?        Ssl    0:00 nscd -f /nix/store/jyaww75i9jac8rpjs3skjx519nqg0yy8-nscd.conf
 1791 ?        S      0:00 [kworker/4:2]
 1796 ?        Zs     0:00 [bash] <defunct>
 1800 tty1     Ss+    0:00 agetty --noclear --login-program /nix/store/gzr868gspawhic2pcamqms8xbpp06rm2-shadow-4.1.5.1/bin/login --keep-baud tty1 115200 38400 9600 linux
 1806 ?        Ss     0:00 ntpd -g -n -c /nix/store/02izw6mxdn7sirjy9n6m0zrb9bp3rn8j-ntp.conf -u ntp:nogroup -i /var/lib/ntp
 1807 ?        S      0:00 /nix/store/lcm18kpmf38bmawj4kxglslxksdjar2z-samba-3.6.24/sbin/smbd -F
 1814 ?        S      0:00 /nix/store/lcm18kpmf38bmawj4kxglslxksdjar2z-samba-3.6.24/sbin/winbindd -F
 1837 ?        Ss     0:00 /nix/store/p79y7n3awskxl4affpvr8mp8aajb9z4f-systemd-212/lib/systemd/systemd-logind
 1853 ?        Ss     0:00 /nix/store/7hx5skwkih8gydxcp73dr7acqkwpz0i7-dbus-tools-1.8.0/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
 1935 ?        S      0:00 [kworker/1:3]
 1952 ?        Zs     0:00 [bash] <defunct>
 1969 ?        Ss     0:02 sshd: root@pts/0
 1971 ?        Ss     0:00 /nix/store/p79y7n3awskxl4affpvr8mp8aajb9z4f-systemd-212/lib/systemd/systemd --user
 1972 ?        S      0:00 (sd-pam
 1978 ?        Ss     0:00 /nix/store/4i8skkh9k8jiayp6yiy1jk9gzbyxpyqh-openssh-6.6p1/bin/ssh-agent -a /run/user/0/ssh-agent
 1979 pts/0    Ss     0:00 -bash
 1991 pts/0    S+     0:00 /nix/store/p0vd3ydvxplbpjffkpblwj5dahcmp9ri-bash-4.2-p45/bin/bash -e /nix/var/nix/profiles/per-user/root/channels/nixos/nixpkgs/nixos/modules/installer/tools/nixos-rebuild.sh switch --upgrade
 2017 ?        Ss     0:00 nix-daemon --daemon
 2138 pts/0    S+     0:02 nix-env -p /nix/var/nix/profiles/system -f <nixpkgs/nixos> --set -A system
 2139 ?        Rs    42:51 nix-daemon 2138
 2141 ?        S      2:07 /nix/store/l4sd8xf2q3x5xk5z8ji9dk3hxpb9v8sa-perl-5.16.3/bin/perl -w -I/nix/store/dmlk4n4vnybbbkdn2xzcjd027yp08iic-nix-1.7/li /nix/store/dmlk4n4vnybbbkdn2xzcjd027yp08iic-nix-1.7/libexec/nix/substituters/download-from-binary-cache.pl --query
 4498 ?        Zs     0:00 [bash] <defunct>
 7438 ?        S      0:00 [kworker/0:2]
10596 ?        Zs     0:00 [bash] <defunct>
