root@titan:~# zfs get mountpoint
NAME                                  PROPERTY    VALUE                              SOURCE
tank/Backups/System/Applications@379  mountpoint  -                                  -
tank/Backups/System/Applications@380  mountpoint  -                                  -
tank/Backups/System/Applications@381  mountpoint  -                                  -
tank/Backups/System/Applications@382  mountpoint  -                                  -
tank/Backups/System/Applications@383  mountpoint  -                                  -
tank/Backups/System/Applications@384  mountpoint  -                                  -
tank/Backups/System/Applications@385  mountpoint  -                                  -
tank/Backups/System/Applications@386  mountpoint  -                                  -
tank/Backups/System/Applications@387  mountpoint  -                                  -
tank/Backups/System/Applications@388  mountpoint  -                                  -
tank/Backups/System/Applications@389  mountpoint  -                                  -
tank/Backups/System/Applications@390  mountpoint  -                                  -
tank/Backups/System/Applications@391  mountpoint  -                                  -
tank/Backups/System/Applications@392  mountpoint  -                                  -
tank/Backups/System/Applications@393  mountpoint  -                                  -
tank/Backups/System/Applications@394  mountpoint  -                                  -
tank/Backups/System/Applications@395  mountpoint  -                                  -
tank/Backups/System/Applications@396  mountpoint  -                                  -
tank/Backups/System/Applications@397  mountpoint  -                                  -
tank/Backups/System/Applications@398  mountpoint  -                                  -
tank/Backups/System/Applications@399  mountpoint  -                                  -
tank/Backups/System/Applications@400  mountpoint  -                                  -
tank/Backups/System/Applications@401  mountpoint  -                                  -
tank/Backups/System/Applications@402  mountpoint  -                                  -
tank/Backups/System/Applications@403  mountpoint  -                                  -
tank/Backups/System/Applications@404  mountpoint  -                                  -
tank/Backups/System/Applications@405  mountpoint  -                                  -
tank/Backups/System/Applications@406  mountpoint  -                                  -
tank/Backups/System/Applications@407  mountpoint  -                                  -
tank/Backups/System/Applications@408  mountpoint  -                                  -
tank/Backups/System/Applications@409  mountpoint  -                                  -
tank/Backups/System/Applications@410  mountpoint  -                                  -
tank/Backups/System/Applications@411  mountpoint  -                                  -
tank/Backups/System/Applications@412  mountpoint  -                                  -
tank/Backups/System/Applications@413  mountpoint  -                                  -
tank/Backups/System/Applications@414  mountpoint  -                                  -
tank/Backups/System/Applications@415  mountpoint  -                                  -
tank/Backups/System/Applications@416  mountpoint  -                                  -
tank/Backups/System/Applications@417  mountpoint  -                                  -
tank/Backups/System/Applications@418  mountpoint  -                                  -
tank/Backups/System/Applications@419  mountpoint  -                                  -
tank/Backups/System/Applications@420  mountpoint  -                                  -
tank/Backups/System/Applications@421  mountpoint  -                                  -
tank/Backups/System/Applications@422  mountpoint  -                                  -
tank/Backups/System/Applications@423  mountpoint  -                                  -
tank/Backups/System/Applications@424  mountpoint  -                                  -
tank/Backups/System/Applications@425  mountpoint  -                                  -
tank/Backups/System/Applications@426  mountpoint  -                                  -
tank/Backups/System/Applications@427  mountpoint  -                                  -
tank/Backups/System/Applications@428  mountpoint  -                                  -
tank/Backups/System/Applications@429  mountpoint  -                                  -
tank/Backups/System/Applications@430  mountpoint  -                                  -
tank/Backups/System/Applications@431  mountpoint  -                                  -
tank/Backups/System/Applications@432  mountpoint  -                                  -
tank/Backups/System/Applications@433  mountpoint  -                                  -
tank/Backups/System/Applications@434  mountpoint  -                                  -
tank/Backups/System/Applications@435  mountpoint  -                                  -
tank/Backups/System/Applications@436  mountpoint  -                                  -
tank/Backups/System/Applications@437  mountpoint  -                                  -
tank/Backups/System/Applications@438  mountpoint  -                                  -
tank/Backups/System/Applications@439  mountpoint  -                                  -
tank/Backups/System/Applications@440  mountpoint  -                                  -
tank/Backups/System/Applications@441  mountpoint  -                                  -
tank/Backups/System/Applications@442  mountpoint  -                                  -
tank/Backups/System/Applications@443  mountpoint  -                                  -
tank/Backups/System/Applications@444  mountpoint  -                                  -
tank/Backups/System/Applications@445  mountpoint  -                                  -
tank/Backups/System/Applications@446  mountpoint  -                                  -
tank/Backups/System/Applications@447  mountpoint  -                                  -
tank/Backups/System/Applications@448  mountpoint  -                                  -
tank/Backups/System/Applications@449  mountpoint  -                                  -
tank/Backups/System/Applications@450  mountpoint  -                                  -
tank/Backups/System/Applications@451  mountpoint  -                                  -
tank/Backups/System/Applications@452  mountpoint  -                                  -
tank/Backups/System/Applications@453  mountpoint  -                                  -
tank/Backups/System/Applications@454  mountpoint  -                                  -
tank/Backups/System/Applications@455  mountpoint  -                                  -
tank/Backups/System/Applications@456  mountpoint  -                                  -
tank/Backups/System/Applications@457  mountpoint  -                                  -
tank/Backups/System/Applications@458  mountpoint  -                                  -
tank/Backups/System/Applications@459  mountpoint  -                                  -
tank/Backups/System/Applications@460  mountpoint  -                                  -
tank/Backups/System/Applications@461  mountpoint  -                                  -
tank/Backups/System/Applications@462  mountpoint  -                                  -
tank/Backups/System/Applications@463  mountpoint  -                                  -
tank/Backups/System/Applications@464  mountpoint  -                                  -
tank/Backups/System/Applications@465  mountpoint  -                                  -
tank/Backups/System/Applications@466  mountpoint  -                                  -
tank/Backups/System/Applications@467  mountpoint  -                                  -
tank/Backups/System/Applications@468  mountpoint  -                                  -
tank/Backups/System/Applications@469  mountpoint  -                                  -
tank/Backups/System/Applications@470  mountpoint  -                                  -
tank/Backups/System/Applications@471  mountpoint  -                                  -
tank/Backups/System/Applications@472  mountpoint  -                                  -
tank/Backups/System/Applications@473  mountpoint  -                                  -
tank/Backups/System/Applications@474  mountpoint  -                                  -
tank/Backups/System/Applications@475  mountpoint  -                                  -
tank/Backups/System/Applications@476  mountpoint  -                                  -
tank/Backups/System/Applications@477  mountpoint  -                                  -
tank/Backups/System/Applications@478  mountpoint  -                                  -
tank/Backups/System/Applications@479  mountpoint  -                                  -
tank/Backups/System/Applications@480  mountpoint  -                                  -
tank/Backups/System/Applications@481  mountpoint  -                                  -
tank/Backups/System/Applications@482  mountpoint  -                                  -
tank/Backups/System/Applications@483  mountpoint  -                                  -
tank/Backups/System/Applications@484  mountpoint  -                                  -
tank/Backups/System/Home              mountpoint  /tank/Backups/System/Home          default
tank/Backups/System/Home@290          mountpoint  -                                  -
tank/Backups/System/Home@291          mountpoint  -                                  -
tank/Backups/System/Home@292          mountpoint  -                                  -
tank/Backups/System/Home@293          mountpoint  -                                  -
tank/Backups/System/Home@294          mountpoint  -                                  -
tank/Backups/System/Home@295          mountpoint  -                                  -
tank/Backups/System/Home@296          mountpoint  -                                  -
tank/Backups/System/Home@297          mountpoint  -                                  -
tank/Backups/System/Home@298          mountpoint  -                                  -
tank/Backups/System/Home@299          mountpoint  -                                  -
tank/Backups/System/Home@300          mountpoint  -                                  -
tank/Backups/System/Home@301          mountpoint  -                                  -
tank/Backups/System/Home@302          mountpoint  -                                  -
tank/Backups/System/Home@303          mountpoint  -                                  -
tank/Backups/System/Home@304          mountpoint  -                                  -
tank/Backups/System/Home@305          mountpoint  -                                  -
tank/Backups/System/Home@306          mountpoint  -                                  -
tank/Backups/System/Home@307          mountpoint  -                                  -
tank/Backups/System/Home@308          mountpoint  -                                  -
tank/Backups/System/Home@309          mountpoint  -                                  -
tank/Backups/System/Home@310          mountpoint  -                                  -
tank/Backups/System/Home@311          mountpoint  -                                  -
tank/Backups/System/Home@312          mountpoint  -                                  -
tank/Backups/System/Home@313          mountpoint  -                                  -
tank/Backups/System/Home@314          mountpoint  -                                  -
tank/Backups/System/Home@315          mountpoint  -                                  -
tank/Backups/System/Home@316          mountpoint  -                                  -
tank/Backups/System/Home@317          mountpoint  -                                  -
tank/Backups/System/Home@318          mountpoint  -                                  -
tank/Backups/System/Home@319          mountpoint  -                                  -
tank/Backups/System/Home@320          mountpoint  -                                  -
tank/Backups/System/Home@321          mountpoint  -                                  -
tank/Backups/System/Home@322          mountpoint  -                                  -
tank/Backups/System/Home@323          mountpoint  -                                  -
tank/Backups/System/Home@324          mountpoint  -                                  -
tank/Backups/System/Home@325          mountpoint  -                                  -
tank/Backups/System/Home@326          mountpoint  -                                  -
tank/Backups/System/Home@327          mountpoint  -                                  -
tank/Backups/System/Home@328          mountpoint  -                                  -
tank/Backups/System/Home@329          mountpoint  -                                  -
tank/Backups/System/Home@330          mountpoint  -                                  -
tank/Backups/System/Home@331          mountpoint  -                                  -
tank/Backups/System/Home@332          mountpoint  -                                  -
tank/Backups/System/Home@333          mountpoint  -                                  -
tank/Backups/System/Home@334          mountpoint  -                                  -
tank/Backups/System/Home@335          mountpoint  -                                  -
tank/Backups/System/Home@336          mountpoint  -                                  -
tank/Backups/System/Home@337          mountpoint  -                                  -
tank/Backups/System/Home@338          mountpoint  -                                  -
tank/Backups/System/Home@339          mountpoint  -                                  -
tank/Backups/System/Home@340          mountpoint  -                                  -
tank/Backups/System/Home@341          mountpoint  -                                  -
tank/Backups/System/Home@342          mountpoint  -                                  -
tank/Backups/System/Home@343          mountpoint  -                                  -
tank/Backups/System/Home@344          mountpoint  -                                  -
tank/Backups/System/Home@345          mountpoint  -                                  -
tank/Backups/System/Home@346          mountpoint  -                                  -
tank/Backups/System/Home@347          mountpoint  -                                  -
tank/Backups/System/Home@348          mountpoint  -                                  -
tank/Backups/System/Home@349          mountpoint  -                                  -
tank/Backups/System/Home@350          mountpoint  -                                  -
tank/Backups/System/Home@351          mountpoint  -                                  -
tank/Backups/System/Home@352          mountpoint  -                                  -
tank/Backups/System/Home@353          mountpoint  -                                  -
tank/Backups/System/Home@354          mountpoint  -                                  -
tank/Backups/System/Home@355          mountpoint  -                                  -
tank/Backups/System/Home@356          mountpoint  -                                  -
tank/Backups/System/Home@357          mountpoint  -                                  -
tank/Backups/System/Home@358          mountpoint  -                                  -
tank/Backups/System/Home@359          mountpoint  -                                  -
tank/Backups/System/Home@360          mountpoint  -                                  -
tank/Backups/System/Home@361          mountpoint  -                                  -
tank/Backups/System/Home@362          mountpoint  -                                  -
tank/Backups/System/Home@363          mountpoint  -                                  -
tank/Backups/System/Home@364          mountpoint  -                                  -
tank/Backups/System/Home@365          mountpoint  -                                  -
tank/Backups/System/Home@366          mountpoint  -                                  -
tank/Backups/System/Home@367          mountpoint  -                                  -
tank/Backups/System/Home@368          mountpoint  -                                  -
tank/Backups/System/Home@369          mountpoint  -                                  -
tank/Backups/System/Home@370          mountpoint  -                                  -
tank/Backups/System/Home@371          mountpoint  -                                  -
tank/Backups/System/Home@372          mountpoint  -                                  -
tank/Backups/System/Home@373          mountpoint  -                                  -
tank/Backups/System/Home@374          mountpoint  -                                  -
tank/Backups/System/Home@375          mountpoint  -                                  -
tank/Backups/System/Home@376          mountpoint  -                                  -
tank/Backups/System/Home@377          mountpoint  -                                  -
tank/Backups/System/Home@378          mountpoint  -                                  -
tank/Backups/System/Home@379          mountpoint  -                                  -
tank/Backups/System/Home@380          mountpoint  -                                  -
tank/Backups/System/Home@381          mountpoint  -                                  -
tank/Backups/System/Home@382          mountpoint  -                                  -
tank/Backups/System/Home@383          mountpoint  -                                  -
tank/Backups/System/Home@384          mountpoint  -                                  -
tank/Backups/System/Home@385          mountpoint  -                                  -
tank/Backups/System/Home@386          mountpoint  -                                  -
tank/Backups/System/Home@387          mountpoint  -                                  -
tank/Backups/System/Home@388          mountpoint  -                                  -
tank/Backups/System/Home@389          mountpoint  -                                  -
tank/Backups/System/Home@390          mountpoint  -                                  -
tank/Backups/System/Home@391          mountpoint  -                                  -
tank/Backups/System/Home@392          mountpoint  -                                  -
tank/Backups/System/Home@393          mountpoint  -                                  -
tank/Backups/System/Home@394          mountpoint  -                                  -
tank/Backups/System/Home@395          mountpoint  -                                  -
tank/Backups/System/Home@396          mountpoint  -                                  -
tank/Backups/System/Home@397          mountpoint  -                                  -
tank/Backups/System/Home@398          mountpoint  -                                  -
tank/Backups/System/Home@399          mountpoint  -                                  -
tank/Backups/System/Home@400          mountpoint  -                                  -
tank/Backups/System/Home@401          mountpoint  -                                  -
tank/Backups/System/Home@402          mountpoint  -                                  -
tank/Backups/System/Home@403          mountpoint  -                                  -
tank/Backups/System/Home@404          mountpoint  -                                  -
tank/Backups/System/Home@405          mountpoint  -                                  -
tank/Backups/System/Home@406          mountpoint  -                                  -
tank/Backups/System/Home@407          mountpoint  -                                  -
tank/Backups/System/Home@408          mountpoint  -                                  -
